input,combined,chebyshev,cheon,
-1,1.91764e-07,-0.999382,-1,
-0.999878,2.02676e-07,-1.00062,-1,
-0.999756,1.95618e-07,-1.00059,-1,
-0.999634,2.15137e-07,-1.00034,-1,
-0.999512,1.73123e-07,-0.999383,-1,
-0.99939,2.15832e-07,-1.00049,-1,
-0.999268,1.85024e-07,-0.999608,-1,
-0.999145,1.73033e-07,-1.00042,-1,
-0.999023,1.75021e-07,-0.999478,-1,
-0.998901,2.04974e-07,-1.00061,-1,
-0.998779,1.90909e-07,-0.999443,-1,
-0.998657,1.74141e-07,-1.00025,-1,
-0.998535,2.25059e-07,-1.00025,-1,
-0.998413,1.96229e-07,-0.999399,-1,
-0.998291,1.47188e-07,-1.00045,-1,
-0.998169,2.09123e-07,-1.00015,-1,
-0.998047,2.15053e-07,-0.99939,-1,
-0.997925,1.90303e-07,-1.00032,-1,
-0.997803,1.72338e-07,-1.0004,-1,
-0.997681,1.71044e-07,-0.999441,-1,
-0.997558,1.71793e-07,-0.999856,-1,
-0.997436,1.97376e-07,-1.00062,-1,
-0.997314,2.10269e-07,-0.999959,-1,
-0.997192,2.02596e-07,-0.999387,-1,
-0.99707,1.76291e-07,-1.00013,-1,
-0.996948,2.37598e-07,-1.0006,-1,
-0.996826,2.10857e-07,-0.999863,-1,
-0.996704,2.08707e-07,-0.99939,-1,
-0.996582,1.85088e-07,-1.00007,-1,
-0.99646,1.89971e-07,-1.00062,-1,
-0.996338,2.11324e-07,-1.00006,-1,
-0.996216,1.84569e-07,-0.999397,-1,
-0.996094,2.15811e-07,-0.999754,-1,
-0.995971,2.06178e-07,-1.00051,-1,
-0.995849,2.16467e-07,-1.00045,-1,
-0.995727,2.32978e-07,-0.999682,-1,
-0.995605,2.30284e-07,-0.999404,-1,
-0.995483,1.98359e-07,-1.00001,-1,
-0.995361,1.76056e-07,-1.0006,-1,
-0.995239,2.20843e-07,-1.00033,-1,
-0.995117,1.74111e-07,-0.999602,-1,
-0.994995,1.95853e-07,-0.999419,-1,
-0.994873,1.61848e-07,-1.00001,-1,
-0.994751,1.8624e-07,-1.00058,-1,
-0.994629,2.21468e-07,-1.00041,-1,
-0.994507,2.14582e-07,-0.999723,-1,
-0.994384,2.12448e-07,-0.99938,-1,
-0.994262,2.76054e-07,-0.999785,-1,
-0.99414,2.13518e-07,-1.00044,-1,
-0.994018,1.97627e-07,-1.00058,-1,
-0.993896,1.5633e-07,-1.00006,-1,
-0.993774,1.79972e-07,-0.999472,-1,
-0.993652,2.13039e-07,-0.999467,-1,
